location,uuid,status,exception,statusCode,responseTxt
/home/joel/xml_cdr/e8f234c7-4114-4204-ba1f-2ee6c5c0f62e.cdr.xml,e8f234c7-4114-4204-ba1f-2ee6c5c0f62e,success,,200,"<div style=""border:1px solid #990000;padding-left:20px;margin:0 0 10px 0;"">

<h4>A PHP Error was encountered</h4>

<p>Severity: Notice</p>
<p>Message:  Undefined index: callflow</p>
<p>Filename: libraries/Parse_CDR_XML.php</p>
<p>Line Number: 77</p>

</div>"
/home/joel/xml_cdr/19f55159-6bf0-49b3-b18d-cea929634c19.cdr.xml,19f55159-6bf0-49b3-b18d-cea929634c19,success,,200,"<div style=""border:1px solid #990000;padding-left:20px;margin:0 0 10px 0;"">

<h4>A PHP Error was encountered</h4>

<p>Severity: Notice</p>
<p>Message:  Undefined index: callflow</p>
<p>Filename: libraries/Parse_CDR_XML.php</p>
<p>Line Number: 77</p>

</div>"
/home/joel/xml_cdr/4bb849fc-0a13-4035-aafb-ff762c379533.cdr.xml,4bb849fc-0a13-4035-aafb-ff762c379533,success,,200,"<div style=""border:1px solid #990000;padding-left:20px;margin:0 0 10px 0;"">

<h4>A PHP Error was encountered</h4>

<p>Severity: Notice</p>
<p>Message:  Undefined index: callflow</p>
<p>Filename: libraries/Parse_CDR_XML.php</p>
<p>Line Number: 77</p>

</div>"
/home/joel/xml_cdr/af0af490-6fc6-4f26-8ed9-a9f9f9026410.cdr.xml,af0af490-6fc6-4f26-8ed9-a9f9f9026410,success,,200,"<div style=""border:1px solid #990000;padding-left:20px;margin:0 0 10px 0;"">

<h4>A PHP Error was encountered</h4>

<p>Severity: Notice</p>
<p>Message:  Undefined index: callflow</p>
<p>Filename: libraries/Parse_CDR_XML.php</p>
<p>Line Number: 77</p>

</div>"
/home/joel/xml_cdr/d4729306-0d82-4cf4-b5cc-0bad347f607a.cdr.xml,d4729306-0d82-4cf4-b5cc-0bad347f607a,success,,200,"<div style=""border:1px solid #990000;padding-left:20px;margin:0 0 10px 0;"">

<h4>A PHP Error was encountered</h4>

<p>Severity: Notice</p>
<p>Message:  Undefined index: callflow</p>
<p>Filename: libraries/Parse_CDR_XML.php</p>
<p>Line Number: 77</p>

</div>"
/home/joel/xml_cdr/966c7b99-eba5-4e80-a4fa-fba2a7a21008.cdr.xml,966c7b99-eba5-4e80-a4fa-fba2a7a21008,success,,200,"<div style=""border:1px solid #990000;padding-left:20px;margin:0 0 10px 0;"">

<h4>A PHP Error was encountered</h4>

<p>Severity: Notice</p>
<p>Message:  Undefined index: callflow</p>
<p>Filename: libraries/Parse_CDR_XML.php</p>
<p>Line Number: 77</p>

</div>"
/home/joel/xml_cdr/0b81c984-97cc-4bbf-855a-7febf52338a2.cdr.xml,0b81c984-97cc-4bbf-855a-7febf52338a2,success,,200,"<div style=""border:1px solid #990000;padding-left:20px;margin:0 0 10px 0;"">

<h4>A PHP Error was encountered</h4>

<p>Severity: Notice</p>
<p>Message:  Undefined index: callflow</p>
<p>Filename: libraries/Parse_CDR_XML.php</p>
<p>Line Number: 77</p>

</div>"
/home/joel/xml_cdr/da7440c9-984e-41b1-9ca2-a67b460ceb22.cdr.xml,da7440c9-984e-41b1-9ca2-a67b460ceb22,success,,200,"<div style=""border:1px solid #990000;padding-left:20px;margin:0 0 10px 0;"">

<h4>A PHP Error was encountered</h4>

<p>Severity: Notice</p>
<p>Message:  Undefined index: callflow</p>
<p>Filename: libraries/Parse_CDR_XML.php</p>
<p>Line Number: 77</p>

</div>"
/home/joel/xml_cdr/b04c87b1-6284-45a8-b517-42e87631cc51.cdr.xml,b04c87b1-6284-45a8-b517-42e87631cc51,file-read-error,"{ [Error: ENOENT, open '/home/joel/xml_cdr/b04c87b1-6284-45a8-b517-42e87631cc51.cdr.xml']
  errno: 34,
  code: 'ENOENT',
  path: '/home/joel/xml_cdr/b04c87b1-6284-45a8-b517-42e87631cc51.cdr.xml' }",,
/home/joel/xml_cdr/e1c25df2-1d5f-4efd-b95c-8c74888d24e6.cdr.xml,e1c25df2-1d5f-4efd-b95c-8c74888d24e6,success,,200,"<div style=""border:1px solid #990000;padding-left:20px;margin:0 0 10px 0;"">

<h4>A PHP Error was encountered</h4>

<p>Severity: Notice</p>
<p>Message:  Undefined index: callflow</p>
<p>Filename: libraries/Parse_CDR_XML.php</p>
<p>Line Number: 77</p>

</div>"
/home/joel/xml_cdr/e85f97f1-85a7-4984-8c17-4da0eb46879f.cdr.xml,e85f97f1-85a7-4984-8c17-4da0eb46879f,success,,200,"<div style=""border:1px solid #990000;padding-left:20px;margin:0 0 10px 0;"">

<h4>A PHP Error was encountered</h4>

<p>Severity: Notice</p>
<p>Message:  Undefined index: callflow</p>
<p>Filename: libraries/Parse_CDR_XML.php</p>
<p>Line Number: 77</p>

</div>"
/home/joel/xml_cdr/83f671d5-c014-4475-80e1-6eb16951cc39.cdr.xml,83f671d5-c014-4475-80e1-6eb16951cc39,success,,200,"<div style=""border:1px solid #990000;padding-left:20px;margin:0 0 10px 0;"">

<h4>A PHP Error was encountered</h4>

<p>Severity: Notice</p>
<p>Message:  Undefined index: callflow</p>
<p>Filename: libraries/Parse_CDR_XML.php</p>
<p>Line Number: 77</p>

</div>"
/home/joel/xml_cdr/585f3a9c-d632-4746-8eaf-56ce1f0631f1.cdr.xml,585f3a9c-d632-4746-8eaf-56ce1f0631f1,success,,200,"<div style=""border:1px solid #990000;padding-left:20px;margin:0 0 10px 0;"">

<h4>A PHP Error was encountered</h4>

<p>Severity: Notice</p>
<p>Message:  Undefined index: callflow</p>
<p>Filename: libraries/Parse_CDR_XML.php</p>
<p>Line Number: 77</p>

</div>"
/home/joel/xml_cdr/d3828fd5-7647-421f-98d5-a561274f34b5.cdr.xml,d3828fd5-7647-421f-98d5-a561274f34b5,success,,200,"<div style=""border:1px solid #990000;padding-left:20px;margin:0 0 10px 0;"">

<h4>A PHP Error was encountered</h4>

<p>Severity: Notice</p>
<p>Message:  Undefined index: callflow</p>
<p>Filename: libraries/Parse_CDR_XML.php</p>
<p>Line Number: 77</p>

</div>"
/home/joel/xml_cdr/7ac4d607-26bd-487d-b75b-f9700dbce40d.cdr.xml,7ac4d607-26bd-487d-b75b-f9700dbce40d,success,,200,"<div style=""border:1px solid #990000;padding-left:20px;margin:0 0 10px 0;"">

<h4>A PHP Error was encountered</h4>

<p>Severity: Notice</p>
<p>Message:  Undefined index: callflow</p>
<p>Filename: libraries/Parse_CDR_XML.php</p>
<p>Line Number: 77</p>

</div>"
/home/joel/xml_cdr/b04c87b1-6284-45a8-b517-42e87631cc52.cdr.xml,b04c87b1-6284-45a8-b517-42e87631cc52,success,,200,"<div style=""border:1px solid #990000;padding-left:20px;margin:0 0 10px 0;"">

<h4>A PHP Error was encountered</h4>

<p>Severity: Notice</p>
<p>Message:  Undefined index: callflow</p>
<p>Filename: libraries/Parse_CDR_XML.php</p>
<p>Line Number: 77</p>

</div>"
/home/joel/xml_cdr/d406c7a3-82f2-4709-bb07-8addf11d6cd9.cdr.xml,d406c7a3-82f2-4709-bb07-8addf11d6cd9,success,,200,"<div style=""border:1px solid #990000;padding-left:20px;margin:0 0 10px 0;"">

<h4>A PHP Error was encountered</h4>

<p>Severity: Notice</p>
<p>Message:  Undefined index: callflow</p>
<p>Filename: libraries/Parse_CDR_XML.php</p>
<p>Line Number: 77</p>

</div>"
